code,close,close_return,newhigh_vol_ratio,in_hot_block,hot_blocks,all_blocks
000422,17.78,,0.9713232105859696,True,"尿素, 涉矿, 液晶面板LCD, 液氯","2024中报预增, MSCI, PVC"
002274,7.01,,1.0837067540065424,True,尿素,"中盘, 创投, 化工化纤"
688353,110.48,,1.0023089075221776,True,钠电池,"专精特新, 中盘, 化工化纤"
603876,20.95,,1.11826972865252,True,钠电池,"中盘, 储能, 刀片电池"
600582,6.08,,0.8069738512122715,True,涉矿,"2025一季报预增, F5G, MSCI"
600389,30.58,,1.0570203505518636,True,股权争夺,"2025中报预增, 中盘, 乡村振兴"
600123,7.02,,0.859540954153165,True,尿素,"中盘, 低碳, 动力煤"
300037,57.43,,1.079196807868363,True,钠电池,"4680电池, IDC, MSCI"
300014,68.62,,1.188904048185028,True,钠电池,"MSCI, etc, 三元锂电"
002734,21.77,,1.6091588272852937,True,钠电池,"2025中报预增, QFII持股, 三季报预增"
300750,405.0,,1.0699732291852715,True,钠电池,"H股, MSCI, 三元锂电"
000727,2.74,,1.2132766927018737,True,microLED,"MLED, MiniLED, VR设备"
000552,2.78,,0.8186640997480568,True,"尿素, 涉矿","中盘, 低价股, 动力煤"
001338,13.32,,0.8529675319543335,False,,"2024中报预增, 中盘, 啤酒"
600573,12.46,,0.9456309432586644,False,,"世界杯, 厄尔尼诺, 合成生物"
600926,17.16,,1.2847409178396045,False,,"G20峰会, MSCI, 价值成长"
600866,7.8,,1.1360113498184068,False,,"2024中报预增, 2025中报预增, 中盘"
600731,7.61,,1.0437442726312125,False,,"乡村振兴, 人民币贬值受益, 储能"
600603,7.68,,0.5919126052479844,False,,"ST股, 一带一路, 中盘"
600598,17.29,,1.6448979092852287,False,,"MSCI, 东北振兴, 中盘"
600500,4.64,,1.0153330603221868,False,,"2024中报预增, MSCI, 一带一路"
301307,40.52,,0.7877613635512268,False,,"5G, 一体化压铸, 专精特新"
600461,10.05,,0.9992912651163107,False,,"ppp, 中盘, 低市盈率"
600448,3.39,,1.8128542381554318,False,,"C2M, QFII持股, 东盟博览会"
000695,14.31,,1.0657185591877427,False,,"2024中报预增, 储能, 光伏"
600222,7.23,,1.3339361072027593,False,,"2024中报预增, CRO, QFII持股"
600153,9.6,,1.7671438361040555,False,,"DeepSeek, MSCI, 一带一路"
600017,3.24,,0.753954747206003,False,,"DeepSeek, RCEP, 一带一路"
601952,10.45,,1.1779645791747,False,,"中盘, 乡村振兴, 养老金持股"
603007,6.72,,1.619945218800544,False,,"ST股, ppp, 中盘"
603026,73.65,,0.8168359983373087,False,,"2024中报预增, 4680电池, 中盘"
603887,17.06,,1.2834270585489649,False,,"IDC, ppp, 上海"
000518,2.96,,1.7032889983124286,False,,"ST股, 低价股, 体外诊断"
688325,126.71,,0.8606835083879748,False,,"2024中报预增, 专精特新, 中盘"
688268,73.68,,0.917973846694169,False,,"QFII持股, 专精特新, 中盘"
688253,38.75,,1.019620640858787,False,,"2024中报预增, 专精特新, 中盘"
688106,27.27,,1.3838450353384266,False,,"专精特新, 中盘, 中芯国际"
605005,19.57,,0.6668326977020879,False,,"3d打印, 中盘, 宁德时代"
000524,13.25,,1.4553092397387073,False,,"2024年报预增, AI智能体, DeepSeek"
603196,27.37,,1.2463565809347465,False,,"上海, 中盘, 优化生育（三孩）"
603829,27.51,,0.8273360770498946,False,,"储能, 光伏, 半年报预增"
603707,9.92,,1.8597105533313831,False,,"MSCI, 中盘, 人民币贬值受益"
603499,24.53,,1.5576713436528244,False,,"2024中报预增, 2024年报预增, 2025一季报预增"
603363,4.36,,1.3793608681603367,False,,"ST摘帽, 中盘, 养猪"
603261,31.97,,1.8438851995841221,False,,"QFII持股, ST股, 低空经济"
603218,15.1,,0.9322791345464101,False,,"MSCI, 一带一路, 中盘"
301358,78.24,,0.852159862806007,False,,"三元锂电, 中盘, 储能"
301292,65.39,,1.0221300065020555,False,,"专精特新, 中盘, 化工化纤"
002047,5.63,,0.9405280749568175,False,,"AI眼镜, BIPV, QFII持股"
301216,26.33,,1.2596533306003692,False,,"3d打印, 一带一路, 中盘"
002743,5.9,,0.9821590805682512,False,,"ppp, 可控核聚变, 周期"
002742,4.62,,0.9287454241821168,False,,"ST股, 一带一路, 中非合作"
000930,7.34,,0.8287700513097489,False,,"2024中报预增, 2025中报预增, 中字头股票"
002620,6.99,,0.8739335387499567,False,,"BIPV, ERP, ST股"
002483,7.83,,1.9538731552888284,False,,"2024年报预增, 一带一路, 中盘"
002461,9.82,,1.2081918053847749,False,,"世界杯, 中盘, 养老金持股"
002458,9.87,,1.603232552060643,False,,"中盘, 兜底增持, 养猪"
002442,6.57,,0.8148690646317585,False,,"5G, PVDF, 化工化纤"
002311,55.84,,1.6963761211052166,False,,"2024中报预增, 2024年报预增, MSCI"
001289,18.12,,1.0198318660770014,False,,"DeepSeek, H股, 一带一路"
002200,7.42,,1.335090490387781,False,,"ST股, ppp, 中科院系"
002140,13.97,,1.6969774725988032,False,,"POE胶膜, ppp, 一带一路"
002136,13.95,,0.912171739063447,False,,"化工化纤, 周期, 国企改革"
002100,7.67,,1.5716052993597294,False,,"2024中报预增, 中盘, 养猪"
002068,9.77,,1.0827225424770266,False,,"2024中报预增, PVDF, 中盘"
002852,11.67,,0.7693013323794964,False,,"2024年报预增, 2025中报预增, 乡村振兴"
002959,45.15,,0.977747224378325,False,,"中盘, 净水, 创投"
002999,7.75,,1.406329133295635,False,,"QFII持股, 乡村振兴, 低空经济"
300486,24.79,,1.9229639060850805,False,,"DeepSeek, 专用设备, 专精特新"
301182,61.66,,1.2551276970501921,False,,"一带一路, 专精特新, 充电桩"
301163,31.74,,1.9813672719955733,False,,"人民币贬值受益, 医疗器械, 小盘"
300983,31.0,,1.2926667144372417,False,,"QFII持股, 上海, 中盘"
000429,12.73,,1.5119454609190783,False,,"中盘, 创投, 券商相关"
300736,20.93,,1.461588254902665,False,,"QFII持股, 三星, 创业板壳股"
300569,8.05,,1.406297529828714,False,,"中盘, 光伏, 回购增持再贷款"
300468,36.23,,1.3089572731122785,False,,"AI智能体, DeepSeek, NFT"
003018,24.79,,1.509354067446543,False,,"包装印刷, 小盘, 广东"
300462,13.41,,1.3656157194421195,False,,"ST股, etc, 上海"
300443,31.79,,0.9073759367815238,False,,"2025一季报预增, 专用设备, 中盘"
300301,3.2,,0.9205772557693354,False,,"LED, ST股, ppp"
300243,15.37,,1.3457623844241677,False,,"PVC, 供应链金融, 创业板重组松绑"
000895,28.42,,1.4710515384048144,False,,"MSCI, 中盘, 人造肉"
000927,3.03,,0.8816015466285594,False,,"一带一路, 中俄贸易, 中字头股票"
688700,50.8,,1.4113918200537117,False,,"5G, GDR, PCB板"
